NBM_91_bulk_CMP	NBM_91_bulk_GMP	NBM_91_bulk_HSC	NBM_91_bulk_MEP	OX1407_bulk_CMP	OX1407_bulk_GMP	OX1407_bulk_HSC	OX1407_bulk_MEP	OX1570_bulk_CMP	OX1570_bulk_GMP	OX1570_bulk_HSC	OX1570_bulk_MEP	OX753_bulk_HSC
AFTPH	1077	826	2240	1988	1708	1095	861	1097	1201	1736	187	1019	1646
AGA	216	469	784	1352	669	162	345	863	136	701	53	440	1042
AGAP1	0	0	0	0	0	1	4	0	3	23	0	48	0
AGAP11	67	76	58	75	35	80	13	36	40	60	0	37	71
AGAP2	39	48	154	12	7	11	4	35	6	40	3	4	29
AGAP2-AS1	1	12	4	0	0	0	0	0	0	0	4	0	0
AGAP3	493	253	192	134	82	138	71	30	139	131	3	86	1
AGAP4	145	166	132	144	58	96	36	69	63	91	3	56	161
AGAP5	133	128	75	78	37	117	28	41	47	74	1	50	48
AGAP6	285	372	219	275	139	166	58	140	66	154	5	90	216
AGAP7P	159	201	134	181	75	124	31	60	88	106	3	52	83
AGAP9	98	104	92	80	28	186	36	69	33	76	2	39	50
AGBL1	0	0	0	0	0	0	0	0	0	1	0	0	0
AGBL2	0	0	1	0	0	0	5	22	0	23	0	3	1
AGBL3	0	13	148	39	0	30	37	32	4	51	6	18	118
AGBL4	2	0	20	1	0	0	0	0	0	0	0	0	51
AGBL5	1081	395	234	800	415	604	260	503	142	666	9	739	112
AGER	105	225	243	114	118	221	14	37	142	90	3	58	101
AGFG1	773	1105	1112	1639	1911	878	590	1787	672	1442	235	1020	1186
AGFG2	34	37	0	41	2	2	24	73	0	0	1	0	2
AGGF1	889	728	1348	2013	786	764	484	915	533	525	36	286	743
AGK	439	318	1450	819	662	543	956	1122	18	367	65	525	1194
AGL	386	317	941	1820	696	393	293	1788	404	528	27	636	2686
AGMAT	5	56	10	46	9	27	0	12	24	8	0	1	1
AGMO	0	0	0	0	0	0	0	1	0	0	0	1	0
AGO1	66	404	621	806	315	226	435	466	256	305	47	134	10
AGO2	204	96	33	122	30	41	38	170	17	149	15	85	0
AGO3	157	7	69	225	478	294	206	226	84	130	4	169	310
