NBM_91_bulk_CMP	NBM_91_bulk_GMP	NBM_91_bulk_HSC	NBM_91_bulk_MEP	OX1407_bulk_CMP	OX1407_bulk_GMP	OX1407_bulk_HSC	OX1407_bulk_MEP	OX1570_bulk_CMP	OX1570_bulk_GMP	OX1570_bulk_HSC	OX1570_bulk_MEP	OX753_bulk_HSC
SNORD115-4	0	0	0	0	0	1	0	0	0	0	0	0	0
SNORD115-6	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORD116-11	0	0	0	2	0	0	0	0	0	0	0	0	0
SNORD116-13	0	0	3	0	0	0	0	0	0	0	0	0	0
SNORD116-14	0	0	0	0	0	0	0	2	0	0	0	2	0
SNORD116-15	0	0	0	0	0	0	0	1	0	0	0	0	1
SNORD116-16	0	0	2	0	1	0	0	0	0	0	0	0	0
SNORD116-17+SNORD116-19	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-18	0	0	0	1	2	0	0	0	0	0	0	0	0
SNORD116-2+SNORD116-6	1	2	2	0	0	0	0	2	0	0	0	0	0
SNORD116-20	0	0	2	0	0	0	0	0	0	0	0	0	0
SNORD116-21	1	0	0	1	0	0	0	0	0	1	0	0	0
SNORD116-24	0	0	3	7	0	0	8	0	12	7	0	0	0
SNORD116-25	0	0	3	0	0	0	0	0	0	0	0	0	0
SNORD116-26	0	0	3	11	0	0	1	3	2	4	0	9	0
SNORD116-27	0	0	0	8	8	0	0	0	0	0	0	0	0
SNORD116-3+SNORD116-9	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD116-8	0	0	1	0	0	0	0	0	1	0	0	0	0
SNORD117	1	0	1	1	0	1	0	2	0	4	0	1	0
SNORD119	0	0	0	0	0	0	0	0	0	9	0	1	0
SNORD11B	8	25	0	8	14	0	6	5	0	21	0	1	0
SNORD12	0	0	14	1	0	0	15	7	16	24	2	0	0
SNORD121A	0	4	2	0	0	0	0	0	0	3	0	0	0
SNORD121B	0	0	0	0	0	0	0	0	1	0	0	0	0
SNORD127	0	0	0	0	10	0	0	0	0	0	0	0	0
SNORD12B	0	12	7	5	0	0	12	1	0	16	0	1	0
SNORD12C	34	48	6	51	16	32	4	9	8	25	3	4	0
SNORD15A	0	0	0	0	0	0	0	2	0	0	0	3	0
SNORD15B	14	16	0	2	0	28	0	0	18	0	1	9	0
SNORD16	0	2	13	3	8	0	6	6	0	3	0	6	0
SNORD17	25	18	4	5	38	65	0	29	0	0	1	3	0
SNORD18A	0	0	0	0	15	0	0	0	2	1	0	0	0
SNORD18B	0	0	2	0	2	0	2	0	0	1	0	1	0
SNORD18C	0	0	18	0	21	7	27	11	2	18	7	19	3
SNORD19	0	0	6	0	0	0	3	4	0	7	0	3	0
SNORD19B	0	5	12	60	13	5	6	23	0	6	1	7	21
SNORD1A	20	0	2	0	0	16	0	0	0	9	3	0	0
SNORD1B	0	0	0	4	2	0	0	0	0	2	0	0	0
SNORD2	0	0	7	3	0	0	0	0	0	1	1	7	0
SNORD20	0	0	6	3	14	1	0	0	0	0	0	0	0
SNORD21	15	2	11	25	35	22	18	23	8	24	1	16	56
SNORD22	55	67	106	126	124	87	59	69	70	167	7	74	224
SNORD23	0	1	0	1	3	5	0	5	0	1	0	2	0
SNORD24	11	0	0	0	0	0	0	0	0	0	0	0	1
SNORD25	0	0	5	7	27	0	2	19	17	6	1	3	24
SNORD26	2	0	0	0	0	0	0	16	3	9	1	5	37
SNORD27	1	0	8	22	10	4	9	20	5	3	4	9	33
SNORD28	0	1	0	9	0	0	10	9	0	32	3	5	33
SNORD29	2	4	7	20	19	1	6	11	0	10	3	13	0
SNORD30	2	8	3	9	0	0	0	11	0	26	2	15	0
SNORD31	0	29	36	26	22	4	5	41	0	28	3	30	45
SNORD32A	12	1	35	12	0	0	13	3	0	21	1	5	22
SNORD33	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORD34	13	4	12	21	4	6	0	5	11	16	2	5	0
SNORD35A	16	9	27	10	3	11	15	3	16	23	2	6	0
SNORD35B	34	45	42	60	90	66	13	39	24	72	0	40	41
SNORD36A	0	18	29	69	21	95	9	39	57	60	4	25	18
SNORD36B	0	3	6	25	0	24	3	9	0	0	1	5	0
SNORD36C	21	21	24	49	25	69	26	18	25	29	4	13	2
SNORD37	0	2	0	0	0	0	0	0	0	0	0	0	0
SNORD38A	34	16	10	20	24	26	16	11	27	14	1	9	0
SNORD38B	9	6	0	11	21	9	0	0	5	10	1	0	3
SNORD42A	2	1	2	0	3	0	0	2	1	0	0	0	0
SNORD42B	0	0	0	0	0	0	0	2	0	2	0	2	0
SNORD43	1	1	0	0	0	0	0	1	0	1	0	1	0
SNORD44	0	5	25	32	5	31	16	29	7	26	3	0	47
SNORD45A	7	0	0	11	4	4	3	2	3	9	1	4	0
SNORD45B	0	1	13	13	8	0	16	15	0	25	9	28	0
SNORD45C	0	0	0	11	3	0	2	5	3	2	1	4	0
SNORD46	0	0	2	0	0	1	0	2	2	17	0	2	3
SNORD47	33	111	132	251	221	156	156	193	38	96	6	29	114
SNORD48	0	8	0	8	4	1	2	6	0	2	0	3	0
SNORD49A	11	5	6	0	3	13	0	5	13	8	0	0	0
SNORD49B	0	0	8	4	14	1	2	4	1	3	0	2	0
SNORD4A	51	16	8	24	0	3	10	3	0	3	0	0	5
SNORD4B	8	5	0	1	9	0	0	6	0	0	0	0	0
SNORD5	0	2	6	13	2	2	19	20	0	5	2	2	0
SNORD50A	4	18	13	1	4	1	1	0	19	17	0	3	6
SNORD50B	12	22	14	10	0	3	2	3	29	35	0	6	1
SNORD51	0	2	3	4	6	0	0	1	0	0	0	0	0
SNORD52	31	19	45	34	26	11	2	3	1	18	3	9	0
SNORD53	0	0	0	0	0	0	6	0	3	8	0	2	0
SNORD54	0	0	9	4	0	0	5	0	12	4	0	2	0
SNORD55	0	0	6	6	0	0	1	5	0	3	0	3	0
SNORD56	0	2	0	0	0	0	0	7	0	0	0	2	0
SNORD57	6	8	10	3	22	0	1	9	7	0	0	0	0
SNORD58A	0	0	8	0	2	3	1	1	7	3	0	0	0
SNORD58C	14	7	29	35	33	24	38	11	50	50	1	23	0
SNORD59A	0	0	11	1	0	0	0	26	3	4	5	20	0
SNORD59B	0	0	27	7	10	0	2	21	0	9	12	31	0
SNORD6	0	8	12	14	18	17	20	9	4	18	0	8	0
SNORD60	22	2	5	0	0	0	0	4	0	0	0	0	0
SNORD61	1	0	0	0	0	0	0	0	0	0	1	0	0
SNORD62A+SNORD62B	0	2	2	0	3	0	0	0	0	2	0	1	0
SNORD63	76	79	3	21	34	54	26	1	17	39	1	26	8
SNORD65	2	5	7	9	0	17	6	5	14	13	0	0	0
SNORD67	0	0	0	0	0	0	0	0	1	2	0	1	0
SNORD68	32	35	61	26	74	41	26	36	79	63	0	35	26
SNORD69	0	0	5	0	9	8	2	0	0	1	0	1	1
SNORD7	16	0	4	0	0	0	0	0	0	0	0	0	0
SNORD70	0	5	0	0	0	0	0	0	0	0	0	0	0
SNORD72	0	0	7	10	0	19	0	12	0	0	0	5	0
SNORD74	5	0	1	0	2	5	3	0	0	0	0	1	0
SNORD76	5	1	57	58	39	63	37	50	20	40	1	12	9
SNORD77	8	1	15	7	0	0	0	10	2	8	2	0	0
SNORD78	2	0	6	15	0	0	0	4	0	4	0	0	0
SNORD79	2	5	36	37	28	44	18	29	4	29	10	2	12
SNORD8	2	0	0	0	0	0	0	0	0	7	0	2	0
SNORD80	21	11	73	88	85	61	42	101	28	57	6	39	29
SNORD81	52	51	50	85	133	65	54	39	67	81	8	25	18
SNORD82	0	0	0	0	0	1	0	0	0	0	0	0	0
SNORD83B	16	20	15	17	22	1	0	8	33	6	0	1	0
SNORD84	0	0	0	4	0	0	0	0	5	7	0	4	0
SNORD87	14	29	10	20	49	13	18	13	25	12	3	6	0
SNORD88A	0	2	0	0	0	0	0	0	0	0	0	0	0
SNORD88B	10	0	3	0	0	0	0	0	0	5	0	0	0
SNORD88C	0	0	0	0	0	1	0	0	0	0	0	0	0
SNORD89	0	1	15	3	0	0	3	8	20	7	1	18	10
SNORD9	0	0	0	1	0	0	0	0	0	6	0	0	0
SNORD90	0	0	0	0	1	0	0	0	0	0	0	0	0
SNORD91A	0	0	0	3	0	0	2	0	0	5	0	0	0
SNORD91B	3	0	0	4	1	0	0	0	0	0	0	1	0
SNORD94	1	0	0	0	0	0	0	31	36	0	0	16	1
SNORD95	0	0	5	0	0	1	0	1	0	4	0	0	0
SNORD96A	7	0	0	1	0	0	0	6	0	1	0	12	29
SNORD96B	0	10	0	0	0	0	0	0	0	0	0	0	0
SNORD97	2	0	6	6	0	0	3	3	0	2	0	7	0
SNORD98	0	9	15	0	4	0	0	0	0	9	2	0	0
SNORD99	27	7	76	21	42	23	2	20	12	8	4	6	9
SNPH	0	0	0	0	0	0	0	0	0	0	0	0	1
SNRK	568	855	1088	804	1868	334	280	917	975	1807	250	1153	1577
SNRK-AS1	1	0	38	0	0	0	0	0	42	0	0	14	197
SNRNP200	2987	2785	3971	4570	2994	2780	1059	3066	2348	4151	220	3782	2425
SNRNP25	679	1018	820	2216	1941	1087	940	1284	717	1835	71	900	697
SNRNP27	243	434	991	1739	2632	797	1383	3379	491	1494	159	1880	2253
SNRNP35	423	385	427	463	452	117	319	302	115	278	9	250	262
SNRNP40	732	1093	2632	3696	2017	981	1042	3129	569	849	70	1548	386
SNRNP48	579	434	703	863	1276	143	183	776	413	421	38	535	1003
SNRNP70	258	183	200	133	198	342	32	71	205	100	3	21	48
SNRPA	785	833	1129	1221	1595	898	454	1388	645	1073	91	846	175
SNRPA1	879	670	930	1846	1470	1542	1123	1631	878	1177	162	841	1174
SNRPB	5661	5838	6993	10888	8754	7629	3657	8294	3325	6805	602	6506	1476
SNRPB2	1202	1188	1812	3366	2278	1896	1818	2442	1331	1702	82	994	2235
SNRPC	3210	3463	3077	7743	5545	4077	3556	5408	2819	4807	193	3625	2232
SNRPD1	3935	4453	4227	8760	4579	4559	4522	6030	1366	2761	173	2487	3814
SNRPD2	9479	7888	7646	15962	11735	8851	7864	7911	4837	7359	379	4049	7198
SNRPD2P2	1	0	0	0	0	0	0	0	0	0	0	0	0
SNRPD3	2826	2134	2368	6134	3956	2802	3065	3643	1149	2516	81	1641	2016
SNRPE	3506	3337	2897	6640	5276	3737	3641	5106	2561	2939	127	1912	2282
SNRPF	1465	1566	1398	3099	2105	2074	1607	2355	959	1793	68	992	1184
SNRPG	1800	1501	1428	4481	2837	1782	1865	2557	842	1114	111	696	1002
SNTA1	27	103	94	48	72	0	0	69	34	61	3	27	0
SNTB1	959	714	2569	537	1121	1010	1528	527	788	525	165	291	3923
SNTB2	223	23	3	237	9	1	1	60	1	3	0	104	2
SNTG2	0	7	0	0	0	0	0	0	0	0	0	0	0
SNTN	0	0	1	0	2	0	0	0	0	1	0	0	0
SNUPN	851	734	1276	1698	747	308	509	1271	242	481	24	724	625
SNURF	0	2	14	4	8	0	6	2	2	3	1	2	1
SNW1	613	716	3265	2130	1633	1428	1232	3371	1519	1672	529	3382	3198
SNX1	1412	1072	2454	2039	1922	970	876	2400	613	923	56	884	780
SNX10	203	320	2199	598	601	505	2075	542	349	1018	147	435	3343
SNX11	74	63	99	160	407	128	15	321	66	208	12	433	0
SNX12	409	543	185	472	274	499	133	362	120	328	5	204	99
SNX13	173	285	625	434	1066	335	539	555	285	575	38	267	0
SNX14	1048	1384	2114	2164	2033	1255	1007	2799	578	972	94	806	853
SNX16	52	52	405	280	533	256	560	1093	565	422	44	520	1336
SNX17	2003	1231	4219	2714	2461	1435	1399	2027	370	1547	86	1710	1005
SNX18	4	230	121	191	462	228	10	211	25	102	12	104	0
SNX19	447	372	713	1001	823	634	209	555	118	441	11	525	1159
SNX2	1696	1430	4573	2562	3574	1770	3961	4570	1741	3322	629	3163	7367
SNX20	17	65	471	75	4	48	40	98	69	56	7	125	1
SNX21	0	110	33	63	0	45	0	0	0	6	0	0	0
SNX22	4	5	4	34	22	40	2	57	63	11	5	56	4
SNX24	44	65	0	23	0	43	0	54	0	64	0	18	0
SNX25	31	0	4	53	0	0	12	39	0	0	0	16	71
SNX27	594	677	908	1058	488	508	49	411	297	204	11	153	10
SNX29	392	110	428	181	494	185	144	171	225	288	4	301	247
SNX29P1	1	19	27	13	47	27	0	0	58	18	1	37	2
SNX29P2	5	41	27	24	35	35	0	0	80	42	8	48	2
SNX3	2425	2786	2250	6175	4155	2953	3544	5805	1477	2813	232	2441	1679
SNX30	54	302	99	682	408	125	368	251	213	399	11	252	0
SNX31	0	0	0	0	0	0	0	0	0	0	0	0	1
SNX32	10	67	10	86	61	72	5	22	0	26	6	4	0
SNX33	53	62	2	15	0	0	0	0	1	0	0	15	0
SNX4	384	329	1375	1764	1710	619	1333	3145	471	697	137	1571	3371
SNX5	2173	1206	1872	4829	2765	2423	1181	2769	1707	1258	61	1320	2280
SNX6	395	811	1572	2385	2060	660	1788	3488	1054	1652	170	1992	4871
SNX7	0	0	153	0	0	0	0	0	0	56	0	0	0
SNX8	158	84	138	258	39	108	9	165	24	29	0	106	0
SNX9	20	6	89	274	45	177	22	181	477	519	26	297	0
SOAT1	655	501	1603	1220	894	303	693	695	625	713	30	403	301
SOBP	2	0	0	0	82	0	0	0	1	0	0	0	0
SOCS1	0	0	0	0	0	0	0	0	34	4	0	4	0
SOCS2	630	336	6703	1617	3699	2009	4310	2141	673	936	554	1338	6119
SOCS2-AS1	99	9	77	12	105	101	168	96	41	70	19	120	4
SOCS3	89	169	233	22	0	8	37	0	107	114	6	0	0
SOCS4	402	392	580	790	97	335	408	840	374	543	73	628	469
SOCS5	573	287	1324	523	967	240	304	719	475	806	145	599	695
SOCS6	281	190	762	149	591	256	228	1065	88	391	39	650	212
SOCS7	182	167	415	247	361	143	110	100	315	125	25	159	288
SOD1	5315	4301	7984	13557	9541	4736	7926	12269	2871	5527	559	5301	8960
SOD2	1348	820	2733	1596	4113	1075	1897	1881	1484	1313	278	1168	1204
SOGA1	141	160	41	63	42	70	44	22	31	67	11	21	0
SOGA3	0	0	0	0	0	0	0	0	19	0	0	0	0
SOHLH1	0	0	0	0	0	0	0	0	0	0	0	0	1
SOHLH2	0	0	0	7	0	0	0	8	0	0	0	0	1
SON	5513	5998	8146	10495	9582	8321	6057	8281	7325	8865	692	4528	12665
SORBS1	14	0	202	377	40	9	0	474	252	88	0	187	3
SORBS2	0	0	1	0	0	0	0	0	4	0	0	0	1
SORBS3	125	83	296	0	26	134	6	0	3	87	3	0	0
SORCS1	0	1	0	0	0	0	0	0	0	0	1	0	1
SORCS3	2	0	0	0	0	0	0	0	1	0	0	0	0
SORD	243	306	314	1158	537	396	362	822	555	472	22	810	447
SORL1	2592	2947	8327	551	1796	2053	2015	2	2493	2862	374	274	3824
SORT1	92	351	430	79	127	652	747	61	20	224	1	58	264
SOS1	903	822	1125	2336	3660	570	1404	2302	494	395	47	651	400
SOS2	277	581	507	548	333	417	192	648	466	735	33	642	234
SOSTDC1	1	0	109	12	0	41	0	66	0	0	0	100	0
SOWAHB	0	0	0	0	0	0	0	0	0	0	0	0	1
SOWAHC	0	0	0	2	0	0	0	0	0	0	0	1	1
SOWAHD	58	44	1	0	48	1	12	0	3	0	0	0	0
SOX1	0	1	0	0	0	0	0	0	0	0	0	0	0
SOX10	0	2	0	0	0	0	0	0	0	0	0	0	0
SOX11	0	0	0	0	0	0	0	0	0	0	0	1	0
SOX12	379	271	146	409	262	268	85	155	185	208	3	34	82
SOX13	16	0	0	0	0	0	0	0	0	0	0	0	1
SOX15	1	2	5	2	11	0	0	1	0	0	0	0	0
SOX18	0	0	0	0	0	25	0	0	0	0	0	0	0
SOX2	0	0	0	2	0	0	0	0	0	0	0	0	0
SOX2-OT	0	1	0	0	0	0	0	1	0	0	0	0	0
SOX21-AS1	0	0	0	8	0	1	0	15	0	0	0	0	0
SOX30	0	0	1	0	0	0	0	0	0	0	0	0	0
SOX4	10440	7683	11779	15920	17127	9338	12682	19158	16301	14744	1003	16546	17112
SOX5	0	0	0	1	0	0	0	0	0	0	0	0	0
SOX6	0	0	0	0	0	0	0	18	0	0	17	0	2
SOX7	1	2	0	54	0	118	0	9	0	0	0	0	3
SOX8	0	0	27	0	0	0	0	0	3	0	0	0	0
SOX9	0	0	0	1	0	0	0	0	0	0	0	0	0
SP1	955	977	1848	1261	1358	1059	502	973	1047	1376	56	979	36
SP100	1279	1769	2879	2178	2512	2285	1575	2427	1027	2105	238	2127	3551
SP110	249	615	1259	810	207	290	246	397	298	326	45	319	2154
SP140	5	7	70	20	67	9	5	52	5	58	1	22	0
SP140L	348	305	644	426	737	527	186	575	193	494	31	292	57
SP2	201	160	187	184	113	159	158	199	16	107	9	128	348
SP3	891	1104	1957	2071	2356	1897	1483	2993	1226	2910	257	3553	2296
SP4	92	198	1245	774	33	263	725	1420	149	169	60	230	1352
SP6	0	0	0	0	0	0	0	0	2	11	0	0	0
SP7	0	0	0	0	0	0	0	30	21	0	0	0	0
SPA17	1	11	27	166	16	34	159	90	38	26	1	29	0
SPACA3	0	0	0	0	0	0	0	0	0	0	0	4	1
SPACA4	0	0	0	0	0	1	0	0	0	0	0	0	0
SPACA5	0	2	3	0	0	0	0	0	0	0	0	0	0
SPACA6P	7	3	46	13	11	53	14	7	26	16	0	9	103
SPACA6P-AS	0	1	0	0	0	0	0	0	0	0	0	0	0
SPAG1	21	171	352	51	176	105	44	7	177	270	47	73	51
SPAG16	476	291	993	998	927	484	647	836	67	419	51	329	756
SPAG17	0	1	0	0	0	0	11	0	1	1	0	0	103
SPAG4	38	24	0	7	0	0	0	0	0	1	0	6	0
SPAG5	390	560	351	542	658	375	121	154	478	851	1	174	329
SPAG5-AS1	1	0	7	0	0	3	0	15	0	2	2	7	173
SPAG6	10	0	0	0	0	89	0	0	1	0	0	265	1
SPAG7	1767	1414	1806	4346	1846	886	807	2632	880	1538	96	1416	817
SPAG8	6	114	0	21	0	13	10	41	0	0	0	27	0
SPAG9	384	778	1014	743	359	1202	557	852	1465	1832	131	456	2795
SPANXA2-OT1	0	1	0	1	0	0	0	0	0	0	0	0	0
SPARC	608	1519	2714	271	1062	1528	560	283	560	2912	142	378	1303
SPARCL1	0	1	0	0	0	0	0	0	0	0	8	0	0
SPAST	642	265	675	1811	1454	314	510	1352	40	326	17	190	391
SPATA12	0	0	0	0	1	0	0	0	0	0	0	0	1
SPATA13	207	424	303	570	426	655	938	338	406	919	65	256	364
SPATA13-AS1	0	18	0	0	0	0	0	0	0	0	0	0	0
SPATA17	0	0	0	0	178	19	6	41	0	0	0	6	0
SPATA17-AS1	0	0	0	0	1	0	0	3	1	0	0	0	0
SPATA2	92	143	63	70	188	221	10	61	73	181	23	69	0
SPATA20	515	499	788	156	340	393	107	111	384	398	21	144	130
SPATA21	0	7	0	1	0	1	0	0	0	0	0	0	0
SPATA24	61	86	3	28	43	19	10	28	15	20	0	12	0
SPATA2L	30	40	37	28	30	6	0	6	9	0	2	0	0
SPATA3-AS1	0	0	0	0	0	2	0	0	0	0	0	0	0
SPATA31A1	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31C1	0	0	7	0	0	0	11	0	3	0	0	0	0
SPATA31C2	0	0	22	0	0	0	16	0	4	0	0	0	0
SPATA31D1	0	0	0	0	0	0	0	0	0	0	0	0	1
SPATA31D3	0	0	0	0	0	0	0	0	0	0	0	0	1
SPATA31D4	0	0	0	0	0	0	0	0	0	0	0	0	1
SPATA31D5P	0	0	0	1	0	0	0	0	0	0	0	0	2
SPATA32	0	0	0	0	0	0	0	0	0	0	0	4	0
SPATA33	43	73	100	119	122	114	58	196	17	70	5	67	167
SPATA4	0	0	14	16	0	0	0	0	0	0	0	0	0
SPATA41	11	0	49	0	0	28	0	0	0	0	0	0	0
SPATA42	0	0	6	6	0	0	0	4	0	0	0	3	0
SPATA45	0	0	0	0	1	4	0	0	0	0	0	0	0
SPATA5	304	249	153	248	224	59	66	230	62	188	0	280	33
SPATA5L1	111	151	102	106	36	199	35	190	65	263	0	25	202
SPATA6	71	16	228	163	91	298	68	88	89	172	59	78	0
SPATA6L	2	16	12	22	45	0	0	6	0	0	0	7	0
SPATA7	171	108	470	350	102	68	339	460	3	142	45	25	2
SPATA9	40	24	41	126	0	0	2	92	0	0	0	25	37
SPATC1	0	0	0	0	0	0	0	0	1	0	0	0	0
SPATC1L	66	103	122	335	119	214	115	268	92	81	10	149	99
SPATS2	371	157	775	600	691	247	90	440	231	567	62	307	67
SPATS2L	411	194	653	8	150	232	121	68	125	311	14	0	26
SPC24	2	38	24	35	6	22	3	22	0	22	0	20	0
SPC25	156	165	221	685	289	223	384	413	74	336	1	28	218
SPCS1	1252	1730	1886	4015	2922	2326	2440	3690	1251	2881	234	1616	1822
SPCS2	1008	1121	2298	2797	2173	1550	1562	2568	586	815	47	848	2313
SPCS3	1993	2120	2451	3769	3531	2255	1900	4447	2182	2868	272	2143	1627
SPDEF	7	0	0	0	0	0	0	0	0	0	0	0	0
SPDL1	103	221	725	754	67	676	1002	967	210	122	9	487	3
SPDYA	3	18	113	150	55	113	42	87	37	47	9	44	61
SPDYE1	68	61	45	26	57	71	15	33	68	44	0	16	34
SPDYE2+SPDYE2B	52	70	62	22	42	69	8	19	32	32	2	20	6
SPDYE3	161	126	122	89	227	207	26	86	114	94	6	52	19
SPDYE4	0	0	0	0	0	0	0	0	5	0	0	0	0
SPDYE5	95	86	70	46	43	73	7	32	29	50	0	22	57
SPDYE6	59	77	55	28	49	61	11	24	31	19	5	20	15
SPDYE7P	6	13	0	1	3	7	1	0	2	3	0	1	0
SPDYE8P	65	72	64	29	50	45	12	25	34	27	1	16	11
SPECC1	101	670	482	649	377	730	337	741	251	382	17	266	646
SPECC1L	117	185	135	162	113	226	49	54	145	92	1	131	65
SPECC1L-ADORA2A	0	0	0	0	0	0	1	2	0	0	0	1	0
SPEF2	81	37	227	288	263	263	95	68	0	123	25	26	2126
SPEG	1	0	36	0	0	0	0	0	0	0	0	0	0
SPEN	886	1436	636	1647	1049	1327	782	1351	2024	2000	256	913	409
SPERT	0	0	0	0	0	0	0	3	0	0	0	0	0
SPG11	623	592	1241	1355	993	609	571	1330	932	742	79	465	302
SPG20	1249	1263	3863	2787	2212	2016	1132	2886	410	989	181	1450	1941
SPG20OS	23	34	52	38	0	91	0	30	37	23	1	6	0
SPG21	865	933	1944	2563	2329	1312	1074	1795	687	923	53	740	630
SPG7	1879	1408	850	971	1360	1286	559	522	428	782	70	464	424
SPHK1	11	74	41	88	0	76	0	80	10	2	0	26	0
SPHK2	40	107	60	28	46	83	0	6	7	31	3	5	1
SPI1	24	77	48	25	19	87	0	14	18	150	1	2	0
SPIB	20	248	2	30	1	6	0	0	1	38	0	0	0
SPICE1	428	279	916	680	299	336	723	853	234	271	26	352	1655
SPIDR	355	545	1321	606	549	772	162	652	152	666	44	914	598
SPIN1	1329	1296	4437	3224	2808	1941	1221	2703	1208	2023	228	1726	3831
SPIN2A	96	148	334	298	423	194	318	242	93	138	4	165	0
SPIN2B	163	260	500	494	680	271	491	429	209	254	25	273	0
SPIN3	82	42	648	487	626	41	164	295	0	275	31	119	1
SPIN4	496	362	1911	595	1154	607	283	957	403	483	121	632	305
SPINK2	5577	8702	16711	117	3252	8896	12675	44	4636	9790	816	197	15735
SPINK4	0	0	16	0	10	0	25	0	0	0	0	0	0
SPINK5	0	12	0	0	0	0	0	0	0	0	0	0	0
SPINK8	0	4	0	0	0	0	0	0	0	0	0	0	0
SPINT1	210	7	549	55	315	250	109	24	67	11	5	55	1
SPINT2	2106	1371	7332	4612	3939	1555	1843	2592	2353	2154	178	3186	1598
SPINT4	0	0	0	0	0	0	0	0	0	0	0	2	0
SPIRE1	156	186	272	27	552	530	378	77	73	153	10	78	0
SPIRE2	11	0	1	3	15	0	0	0	0	0	4	0	1
SPN	1055	1406	1445	898	1657	1382	321	719	760	573	63	318	202
SPNS1	523	182	283	441	835	279	45	274	115	280	8	203	42
SPNS2	71	268	148	0	0	339	41	0	13	184	4	0	30
SPNS3	372	2563	715	0	277	1552	146	0	429	2228	17	39	145
SPOCD1	0	0	0	0	0	0	0	0	1	1	0	0	0
SPOCK1	0	30	0	0	0	48	0	0	0	0	0	0	0
SPOCK2	15	14	55	0	1	174	135	0	111	37	24	0	92
SPOCK3	0	16	294	8	413	6	15	0	0	63	25	24	988
SPON1	0	13	117	0	91	2	0	2	0	22	1	0	4
SPON2	135	321	0	7	141	93	31	0	36	59	0	0	0
SPOP	1352	1215	2766	2950	1271	923	782	2025	377	605	103	622	2334
SPOPL	531	447	471	778	1458	446	274	850	1159	1533	158	1641	2475
SPP1	1	0	0	0	0	82	0	0	0	0	0	0	0
SPPL2A	327	156	465	375	455	196	111	992	10	209	16	503	0
SPPL2B	497	487	229	146	155	214	65	75	202	230	2	118	21
SPPL3	543	1324	468	778	506	419	246	337	847	629	0	239	294
SPR	0	10	0	23	0	14	0	35	0	0	0	47	193
SPRED1	106	41	478	186	23	890	347	277	114	158	8	17	127
SPRED2	451	475	474	372	174	335	179	125	0	199	20	43	3
SPRED3	3	0	0	1	1	1	1	1	22	8	0	2	1
SPRN	41	109	6	3	11	0	0	14	6	12	0	0	0
SPRNP1	0	0	2	0	0	0	0	1	0	0	0	0	0
SPRR3	1	0	0	0	0	0	0	0	0	0	0	0	0
SPRTN	134	184	519	603	492	211	200	800	111	346	66	426	293
SPRY1	632	416	1019	210	781	441	450	1748	975	2632	212	2268	255
SPRY2	161	296	143	190	473	384	384	333	183	593	20	861	183
SPRY3	25	0	2	2	0	8	0	0	0	0	0	3	0
SPRY4	0	0	0	0	0	0	0	0	0	13	0	0	1
SPRYD3	55	123	185	53	38	43	25	35	5	75	3	46	0
SPRYD4	343	202	715	913	36	231	201	343	139	10	6	342	51
SPRYD7	58	246	463	1002	180	163	493	675	42	123	5	190	2
SPSB1	0	0	0	0	0	0	0	0	0	0	0	0	2
SPSB2	64	85	21	40	0	39	7	10	46	47	0	4	0
SPSB3	410	558	978	253	192	294	9	355	276	647	19	553	39
SPSB4	0	5	0	2	0	10	0	0	0	0	0	0	0
SPTA1	8	46	0	867	123	15	0	2261	14	10	0	376	1
SPTAN1	429	905	760	219	621	590	188	119	305	726	31	17	642
SPTB	11	2	0	37	48	0	0	33	22	0	0	4	0
SPTBN1	1695	1477	4901	591	1144	1467	1638	84	2441	2664	1094	983	5628
SPTBN2	66	14	0	197	37	0	1	150	2	6	0	69	0
SPTBN4	0	0	0	0	0	0	0	0	0	1	0	0	0
SPTBN5	15	1	0	9	0	0	0	0	0	0	0	0	0
SPTLC1	656	517	2241	1610	1129	640	1259	3129	216	1142	208	1330	539
SPTLC2	2186	1175	4857	5275	2393	2912	2159	4386	2631	3227	161	3232	686
SPTLC3	7	0	556	495	349	99	112	314	44	4	1	110	211
SPTSSA	496	799	709	2030	1889	406	945	1531	349	290	50	432	501
SPTSSB	0	0	0	0	3	0	0	0	0	0	1	0	0
SPTY2D1	342	120	183	268	218	238	63	595	389	989	80	1011	73
SPTY2D1-AS1	2	3	0	18	0	14	3	9	0	1	0	1	0
SPX	0	0	0	0	59	0	0	18	0	0	0	2	0
SQLE	508	349	1177	1127	774	189	474	656	257	293	69	513	237
SQRDL	256	734	1959	51	156	488	200	0	10	975	110	90	764
SQSTM1	518	664	1860	1253	1148	1165	584	1479	4747	2642	643	3529	643
SRA1	668	842	848	2007	1549	403	711	1046	727	401	46	746	1534
SRBD1	205	291	1052	494	235	716	300	1860	291	335	19	357	501
SRC	60	90	192	0	0	0	0	23	0	6	1	26	0
SRCAP	668	883	435	368	423	559	32	217	234	524	14	273	124
SRCIN1	0	0	1	0	0	0	0	0	2	1	0	0	0
SRD5A1	22	52	198	445	254	201	39	335	88	27	10	107	0
