  Dim1	Dim2
   28.2053   38.3052
    2.8010   17.6294
  -23.8784   27.8260
  -18.5460    0.8335
   30.3407   39.1185
   -6.3588   -0.9959
  -14.3164    2.5986
  -11.9901    4.4548
   -9.5355   19.7314
   30.2053   37.3443
    1.4915   10.7180
   33.2887   38.2396
   29.7342   36.7372
   27.8261   41.7302
   31.2292   36.5265
   33.8084   33.9100
   33.1754   34.2861
   35.1675   38.4169
   34.7499   37.9026
   -7.2568   31.0206
  -11.0752   -9.3101
   -0.5491   -8.3961
  -12.6261  -18.1073
   -8.5363   -9.0013
   52.7544   -8.7818
  -10.5645  -16.3164
    2.4964   -7.9922
   11.4175  -15.8783
   -6.9143   -2.0587
  -10.6545  -17.9347
  -26.2701   -6.9680
   -6.8206  -14.0918
   -5.9884  -18.5610
   10.7100  -14.6256
   -8.3391  -16.9585
  -11.0770  -14.6818
   -4.6877  -10.0470
    3.2870  -10.5256
  -10.4498   -4.6626
    5.4940   -9.0882
    8.2287  -18.8174
    3.3435   -6.4532
    8.1021  -19.5016
  -12.9870  -16.8322
   -4.6341  -10.9342
   -6.9604  -18.3251
  -21.4481  -11.1250
  -10.0331  -13.8808
  -12.2176  -16.0620
   -7.8276  -12.5706
    8.2586   -6.2037
   30.6091   20.3491
    0.7300   -7.9968
   -9.3464  -15.3130
   -6.7358  -11.3184
    7.7124   -7.3448
   -7.9260  -11.7125
    7.5451   -7.7384
  -11.5967   -4.1989
   -3.4349   -7.5891
  -25.3716  -35.1151
  -25.4377  -35.1383
  -10.1955  -12.2268
   -9.9288   -9.3423
   -2.1854  -24.0269
  -14.5210   -8.0650
   -1.3561  -21.1093
   -2.6243  -19.1671
   -4.3395  -22.2406
   -2.6133  -20.9110
   11.9113  -23.3127
   -3.8511  -23.6512
   -1.8830  -23.3814
   32.3353   -3.0316
   -5.5340  -23.3270
   -3.2904  -22.4621
    5.4049  -33.5909
   12.3971  -19.2227
   57.8461   -0.3536
   -5.2050  -19.6926
   -2.9632  -27.1785
   -1.2281  -37.3619
  -31.8776  -27.3933
   13.1018  -15.4081
   -1.6927  -26.7333
   -1.0476  -37.4768
    1.1591   10.9812
    3.8607  -26.6676
   12.8977  -22.6670
   22.6651  -17.4033
   14.5799  -23.8933
   21.9341  -16.3911
   20.3402  -15.9637
   23.3636  -14.7082
   21.9002  -24.1949
    4.6206  -33.9817
   19.9664  -19.4427
   19.2168  -22.4279
   22.5563  -15.6502
   56.2760   -3.6451
   56.1132   11.0615
   24.5476  -17.9473
   17.2274  -24.7850
   55.1377   -1.5341
   12.4997  -20.2605
   23.7338  -15.5341
   23.7914  -21.1837
   57.4262   -3.9551
   25.2309  -23.5191
   26.8478  -20.4220
   28.8182   42.3309
   27.2845  -18.6396
  -26.7220   -3.4761
  -16.7085  -11.7736
   -9.0395   -0.3595
  -17.9212  -11.2507
  -17.5459  -13.7419
  -19.1803   -9.5675
   -4.4084  -13.4513
  -11.2796  -23.9987
   -1.3634  -15.4492
  -21.8441  -35.3362
  -16.1184  -12.5066
  -12.5031  -11.3097
    2.7744  -15.7673
  -14.5803  -13.5265
   -2.7666  -15.8501
   -3.3613  -16.9539
    6.2368  -14.4037
   -4.9779  -15.3823
   -5.8415  -25.1554
    1.5630   -9.1042
  -15.0576  -10.8306
   -3.3546  -12.7416
   -0.2387  -10.8364
  -15.3354  -15.6748
   -6.7607  -22.3914
    0.1772  -14.6943
   13.0237  -11.2607
   -9.5322   -5.0088
    0.5508  -11.5584
    9.3467   -6.1047
    4.2379  -15.1706
   12.9528   -7.2334
   55.0663   -9.1116
    3.4555  -12.8820
   57.8159   -9.2745
   12.3632  -25.1927
    4.5200  -11.7444
   51.9113   -9.3002
   49.9765   -8.7305
   12.0218   -7.2505
    7.1344  -14.6132
   27.7123  -29.1214
    4.5529  -14.8640
   27.3965  -29.0828
   50.9499  -12.7056
  -22.1078   -3.6500
    6.1893   -2.7338
   -8.9735  -18.0685
   -1.9884   -3.1723
  -12.2542  -19.7189
    8.5403  -28.8385
  -21.2673   -1.4642
    1.3149  -25.8460
   -8.3790  -33.1322
   -7.1162  -15.4206
   -3.3189  -10.2484
   -1.3450  -39.4771
   -8.3781  -24.2698
   -8.1210  -30.0121
    9.9034  -34.5491
   20.3655  -31.1798
   10.3527  -16.6478
   27.4978    7.6044
  -21.7681   -7.1447
   17.3696  -32.5975
   20.4808  -26.8733
   11.5567  -34.4801
  -30.4070   27.1373
   16.4767  -31.9568
    5.4221   -5.4738
    0.1888  -30.7012
   11.3051   -3.6388
    3.0824  -36.5294
   10.3106  -24.9437
   17.4217  -34.2001
   51.8261   -3.6466
   53.4322   -3.9195
    3.7906  -34.9488
   54.3432   20.3322
  -23.4763   24.1630
   27.6554  -15.7386
   19.5048  -31.5136
   55.1496   -4.1940
   31.5694   13.3497
   53.5128   19.7237
   52.5604   -4.8479
   15.9658  -31.0043
  -40.5051  -12.9983
  -14.4599  -19.8771
   21.1053  -11.2158
   -8.5300  -22.3155
  -41.4790  -11.7971
  -13.8047  -38.2906
  -10.0986  -20.6635
  -13.9881  -33.1691
  -14.8454  -21.7662
  -14.7856  -28.0221
  -15.2684  -31.1111
   -4.8567  -38.2974
  -14.6698  -17.5554
  -42.6088  -12.6297
  -18.8464   -6.4800
  -11.6271  -30.7205
  -17.0721  -27.0705
  -41.4895  -10.3517
  -11.2450  -32.2229
  -10.6794  -25.3964
  -11.4645  -28.8914
   -2.2545  -36.2597
    0.7470  -18.6646
  -14.0099  -33.9083
   -7.6731  -19.7909
   -2.2550  -13.0733
    0.5281  -22.6625
  -13.7572  -38.3345
    1.3216  -38.0584
   11.7456   -3.4123
  -14.6022  -29.0821
   15.5546  -24.0784
   17.3311  -23.2509
   18.5126  -20.5311
   -9.8355  -32.6425
   16.7541  -21.8733
    3.8707  -30.3671
   -9.4488  -27.2899
    0.0551  -19.4072
   -6.3153  -28.7541
   21.6599  -31.5700
   -7.9735  -28.5342
   15.4276  -21.3815
   25.3628  -20.9953
   28.1646    7.3398
    1.2690  -37.4696
   20.6165  -27.6979
   54.2422   -7.6407
   14.7413  -26.5726
   22.3687  -27.3219
   55.9364   -2.2767
   17.2837  -25.9442
   60.0613   -6.9319
