gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
FCGR2B	0.0892660044299103	1.15970696004984	1.07044095561993	477	155	10	48	0.0209643605870021	0.309677419354839	1.63107013842425e-26	6.36879775284264e-23	7.28401321835795e-27	5.20927909798458e-47	1.88979888256682e-44
BEX1	2.12699397037224	0.0167172135526945	-2.11027675681955	477	155	205	2	0.429769392033543	0.0129032258064516	1.92907846998919e-21	1.58746900736522e-28	3.37512917607635e-21	6.00879732123268e-47	2.13624762364464e-44
LOC101927069	0.0534100693200311	1.45913090560669	1.40572083628666	477	155	5	42	0.010482180293501	0.270967741935484	4.45965674939592e-26	1.09950164843269e-22	6.85878424461648e-27	8.43158520945294e-47	2.93882075849481e-44
CYBB	0.0324939880757646	1.09662582227838	1.06413183420262	477	155	6	43	0.0125786163522013	0.27741935483871	5.75347672889245e-26	1.57217738632353e-22	5.68321261924265e-27	9.97475887072657e-47	3.40983295550068e-44
ATP8B4	1.96104897265326	0.0514436800035267	-1.90960529264973	477	155	198	1	0.415094339622642	0.00645161290322581	4.6626769281301e-21	8.77484295655625e-29	2.68316316341547e-20	2.60559942998033e-46	8.73908216364722e-44
TARP	0.523901695474932	3.18576916085442	2.66186746537948	477	155	51	76	0.106918238993711	0.490322580645161	1.40341324926999e-24	2.59324021782176e-22	9.71215404576592e-27	2.78557555535837e-46	9.1697020503797e-44
LTB	0.173917914486259	1.99996515943105	1.82604724494479	477	155	23	58	0.0482180293501048	0.374193548387097	2.25048984688562e-25	3.59231274160017e-22	7.37039149509625e-27	2.92701551122497e-46	9.46011413227911e-44
LOC101928731	0.0326228999362101	1.22440077429994	1.19177787436373	477	155	3	39	0.00628930817610063	0.251612903225806	1.21931872881424e-25	1.68007659813143e-22	2.09989984741689e-26	3.89008301116764e-46	1.2348234929735e-43
CAT	5.52315498382159	1.65069146891452	-3.87246351490708	477	155	379	54	0.794549266247379	0.348387096774194	7.7982951814356e-25	9.31777289159468e-24	1.06870931577099e-24	1.08766859498933e-45	3.39199946395267e-43
PXDN	0.0656623866519852	1.52077353049304	1.45511114384106	477	155	9	45	0.0188679245283019	0.290322580645161	4.75368380228889e-25	1.18208298433279e-21	3.64319789181516e-26	4.64081000985212e-45	1.42232825405399e-42
THBS1	0.123393793733855	1.25319443826358	1.12980064452972	477	155	15	51	0.0314465408805031	0.329032258064516	3.26702223342189e-25	7.70337907095641e-22	1.10057058586819e-25	9.07870287913201e-45	2.73530546405849e-42
ECM1	0.0375885328995876	1.71751430780046	1.67992577490088	477	155	4	39	0.00838574423480084	0.251612903225806	1.02682606290777e-24	1.46007449134731e-21	1.01956007577537e-25	1.5857082874109e-44	4.69792508616935e-42
